Date,Open,High,Low,Close,Adj Close,Volume,price_range,price_change,return,ma_7,ma_30,volatility,log_return
1981-01-27,0.143973,0.143973,0.142857,0.142857,0.111664,23699200,0.0011159999999999781,-0.0011159999999999781,-0.0077514533975119315,0.14484985714285714,0.14027153333333334,0.0018466664947567135,-0.007781652069354196
1981-01-28,0.138951,0.138951,0.138393,0.138393,0.108175,28156800,0.0005580000000000029,-0.0005580000000000029,-0.031248031248031438,0.14365414285714287,0.14082956666666666,0.0028426461515386058,-0.03174666605654876
1981-01-29,0.133929,0.133929,0.133371,0.133371,0.104249,43904000,0.0005580000000000029,-0.0005580000000000029,-0.03628796254145805,0.14237871428571428,0.14151783333333334,0.004847738500726793,-0.036962745325514426
1981-01-30,0.127232,0.127232,0.126116,0.126116,0.098578,46188800,0.0011160000000000059,-0.0011160000000000059,-0.05439713280998104,0.13966828571428572,0.14187126666666666,0.00760163006015349,-0.0559326001965553
1981-02-02,0.11942,0.11942,0.118862,0.118862,0.092908,23766400,0.0005580000000000029,-0.0005580000000000029,-0.05751847505471164,0.13568242857142856,0.14187126666666666,0.010149432099993675,-0.05923896203216186
1981-02-03,0.123326,0.123884,0.123326,0.123326,0.096398,19152000,0.0005579999999999891,0.0,0.03755615756086894,0.132414,0.14177826666666668,0.009876270146163553,0.036868099427373686
1981-02-04,0.12779,0.128348,0.12779,0.12779,0.099887,27865600,0.0005580000000000029,0.0,0.036196746833595306,0.13010214285714286,0.14162946666666668,0.008520586666589275,0.03555703587769448
1981-02-05,0.12779,0.128906,0.12779,0.12779,0.099887,7929600,0.0011160000000000059,0.0,0.0,0.12794971428571428,0.1412946333333333,0.006400929169901609,0.0
1981-02-06,0.128348,0.128906,0.128348,0.128348,0.100323,13865600,0.0005580000000000029,0.0,0.004366538852805357,0.12651471428571429,0.14073660000000002,0.004518724108797851,0.004357033183233583
1981-02-09,0.122768,0.122768,0.121652,0.121652,0.095089,16755200,0.0011160000000000059,-0.0011160000000000059,-0.052170661015364383,0.12484057142857143,0.13950893333333333,0.0036407705620811917,-0.05358081510115662
1981-02-10,0.121652,0.12221,0.121652,0.121652,0.095089,18345600,0.0005580000000000029,0.0,0.0,0.12420285714285714,0.13820686666666665,0.003768836576831102,0.0
1981-02-11,0.118304,0.118304,0.117746,0.117746,0.092036,13843200,0.0005580000000000029,-0.0005580000000000029,-0.03210798014007166,0.12404342857142857,0.1369048,0.004045843581469399,-0.03263474765917304
1981-02-12,0.117188,0.117188,0.116629,0.116629,0.091163,14560000,0.0005590000000000039,-0.0005590000000000039,-0.009486521835136763,0.12308671428571427,0.1357143,0.004937358157094906,-0.009531805500611251
