dataset,model,rmse,mae,best_val_loss,epochs_ran
apple,mlp,1.174121618270874,0.87971031665802,0.3044076213941281,12
apple,rnn,0.6092832684516907,0.42024239897727966,0.2809253233999072,21
apple,lstm,0.575271725654602,0.39972686767578125,0.27841403996468217,16
apple,transformer,0.5699304342269897,0.3865121006965637,0.27132212333064026,11
weather,mlp,0.07205728441476822,0.056606318801641464,0.0049059673569303635,16
weather,rnn,0.03606279566884041,0.026517074555158615,0.0004799240520885092,36
weather,lstm,0.04818181321024895,0.03832416981458664,0.0005636134773902682,23
weather,transformer,0.08464749157428741,0.06875498592853546,0.0008362746778514435,50
